course_code,course,EX,A,B,C,D,P,F,session,category,Personal Interest,EX_percent,A_percent,B_percent,C_percent,D_percent,P_percent,F_percent,Mean Grade,cum_EX_A_%,cum_EX_A_B_%,"cum_EX,A,B,C_%"
IM22001,INFORMATION SYSTEMS LAB ,12,34,20,0,0,0,0,Autumn 20,Industrial and Systems Engineering_related_roles,,18.181818181818183,51.515151515151516,30.303030303030305,0.0,0.0,0.0,0.0,8.878787878787879,69.6969696969697,100.0,100.0
IM21002,PRODUCTION DESIGN AND PROCESS PLANNING ,8,3,32,19,4,0,0,Spring 21,Industrial and Systems Engineering_related_roles,,12.121212121212121,4.545454545454546,48.484848484848484,28.78787878787879,6.0606060606060606,0.0,0.0,7.878787878787879,16.666666666666668,65.15151515151516,93.93939393939394
IM21006,OPERATIONS RESEARCH-II ,13,31,14,7,1,0,0,Spring 21,Industrial and Systems Engineering_related_roles,,19.696969696969695,46.96969696969697,21.21212121212121,10.606060606060606,1.5151515151515151,0.0,0.0,8.727272727272727,66.66666666666666,87.87878787878788,98.48484848484848
IM21008,WORK SYSTEM DESIGN ,7,55,4,0,0,0,0,Spring 21,Industrial and Systems Engineering_related_roles,,10.606060606060606,83.33333333333334,6.0606060606060606,0.0,0.0,0.0,0.0,9.045454545454545,93.93939393939395,100.00000000000001,100.00000000000001
IM29006,OPERATIONS RESEARCH LAB. ,30,20,15,1,0,0,0,Spring 21,Industrial and Systems Engineering_related_roles,,45.45454545454545,30.303030303030305,22.727272727272727,1.5151515151515151,0.0,0.0,0.0,9.196969696969697,75.75757575757575,98.48484848484847,99.99999999999999
IM29008,WORK SYSTEM DESIGN LAB. ,46,20,0,0,0,0,0,Spring 21,Industrial and Systems Engineering_related_roles,,69.6969696969697,30.303030303030305,0.0,0.0,0.0,0.0,0.0,9.696969696969697,100.0,100.0,100.0
IM21001,"ENGINEERING ECONOMY, COSTING AND ACCOUNTING ",21,44,0,0,0,0,1,Autumn 21,Industrial and Systems Engineering_related_roles,,31.818181818181817,66.66666666666666,0.0,0.0,0.0,0.0,1.5151515151515151,9.181818181818182,98.48484848484847,98.48484848484847,98.48484848484847
IM31005,QUALITY DESIGN AND CONTROL ,5,19,39,2,0,1,0,Autumn 21,Industrial and Systems Engineering_related_roles,,7.575757575757576,28.78787878787879,59.09090909090909,3.0303030303030303,0.0,1.5151515151515151,0.0,8.287878787878787,36.36363636363637,95.45454545454547,98.4848484848485
IM31007,PRODUCTION PLANNING AND CONTROL ,57,7,1,0,0,0,1,Autumn 21,Industrial and Systems Engineering_related_roles,,86.36363636363636,10.606060606060606,1.5151515151515151,0.0,0.0,0.0,1.5151515151515151,9.712121212121213,96.96969696969697,98.48484848484848,98.48484848484848
IM31008,LOGISTICS AND SUPPLY CHAIN MANAGEMENT ,9,34,19,4,0,0,0,Autumn 21,Industrial and Systems Engineering_related_roles,,13.636363636363635,51.515151515151516,28.78787878787879,6.0606060606060606,0.0,0.0,0.0,8.727272727272727,65.15151515151516,93.93939393939394,100.0
